listing_id,name,host_id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,listing_url,accommodates (groups)
16686114,"Modern and sunny apartment with balcony",55163562,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",95,0,,,,,,,,"https://www.airbnb.com/rooms/16686114","4"
18269943,"Apartment",6234631,"Apartment","Entire home/apt",1,1,1,1,"Real Bed",100,0,,,,,,,,"https://www.airbnb.com/rooms/18269943","1"
18271165,"Private room with bathroom near citycenter!",126310290,"Apartment","Private room",3,1,1,1,"Real Bed",100,0,,,,,,,,"https://www.airbnb.com/rooms/18271165","3"
18367895,"One bed room apartment,",23082087,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",150,0,,,,,,,,"https://www.airbnb.com/rooms/18367895","4"
18410560,"Rembrandt Square Nice Home",19931027,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",177,0,,,,,,,,"https://www.airbnb.com/rooms/18410560","4"
18581117,"Light room",128581107,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",208,0,,,,,,,,"https://www.airbnb.com/rooms/18581117","4"
19015314,"Skylight room at walking distance of station zuid",132666740,"Apartment","Private room",1,1,1,1,"Real Bed",50,0,,,,,,,,"https://www.airbnb.com/rooms/19015314","1"
19416683,"Leidseplein Terrace apartment",30445609,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",210,0,,,,,,,,"https://www.airbnb.com/rooms/19416683","4"
19688816,"Nightgate Inn",57834889,"Apartment","Private room",1,1,1,1,"Real Bed",36,0,,,,,,,,"https://www.airbnb.com/rooms/19688816","1"
19845574,"Perfect Pride Apartment in the Pijp",13067458,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",125,0,,,,,,,,"https://www.airbnb.com/rooms/19845574","4"
20042159,"Small room near the center",57725767,"Apartment","Private room",1,1,1,1,"Real Bed",63,0,,,,,,,,"https://www.airbnb.com/rooms/20042159","1"
20326716,"Modern budget apartment close to city center",43322873,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",80,0,,,,,,,,"https://www.airbnb.com/rooms/20326716","3"
20615781,"Next to Rembrandt Park",22100038,"Apartment","Entire home/apt",6,1,1,1,"Real Bed",80,0,,,,,,,,"https://www.airbnb.com/rooms/20615781",">4"
20837003,"Johan's fantastic Pijp retreat",149497150,"Apartment","Private room",1,1,1,1,"Real Bed",36,0,,,,,,,,"https://www.airbnb.com/rooms/20837003","1"
21429650,"Room in a lovely light appartment",9100496,"Apartment","Private room",1,1,1,1,"Real Bed",75,0,,,,,,,,"https://www.airbnb.com/rooms/21429650","1"
21594147,"Tequan's Place",157056940,"Apartment","Private room",1,1,1,1,"Real Bed",30,0,,,,,,,,"https://www.airbnb.com/rooms/21594147","1"
21698663,"Cozy Room in Oud-West",138363288,"Apartment","Private room",1,1,1,1,"Real Bed",70,0,,,,,,,,"https://www.airbnb.com/rooms/21698663","1"
21735918,"Stylish & spacious apartment in heart of Jordaan",57981999,"Apartment","Private room",4,1,1,1,"Real Bed",135,0,,,,,,,,"https://www.airbnb.com/rooms/21735918","4"
21800954,"Amsterdam Jordaan",87725090,"Apartment","Private room",3,1,1,1,"Real Bed",120,0,,,,,,,,"https://www.airbnb.com/rooms/21800954","3"
21882460,"The  Good Breath of the North - Home",63936618,"Apartment","Private room",1,1,1,1,"Real Bed",35,0,,,,,,,,"https://www.airbnb.com/rooms/21882460","1"
21913325,"Nice room for single person",106594034,"Apartment","Private room",1,1,1,1,"Real Bed",130,0,,,,,,,,"https://www.airbnb.com/rooms/21913325","1"
22396098,"Private room in lovely modern flat",18083727,"Apartment","Private room",1,1,1,1,"Real Bed",80,0,,,,,,,,"https://www.airbnb.com/rooms/22396098","1"
22758348,"Second Storey B&B Amsterdam",67046252,"Apartment","Private room",4,1,1,1,"Real Bed",290,0,,,,,,,,"https://www.airbnb.com/rooms/22758348","4"
23713080,"Spacious room, near Amsterdam and Airport",236554,"Apartment","Private room",1,1,1,1,"Real Bed",30,0,,,,,,,,"https://www.airbnb.com/rooms/23713080","1"
23921834,"Urban dreamers hotspot",77845621,"Apartment","Private room",1,1,1,1,"Real Bed",150,0,,,,,,,,"https://www.airbnb.com/rooms/23921834","1"
24027533,"Private Room in 19th luxury loft apartment De Pijp",3146642,"Apartment","Private room",1,1,1,1,"Real Bed",105,0,,,,,,,,"https://www.airbnb.com/rooms/24027533","1"
24158403,"Amsterdam room in quiet neighbourhood",20202708,"Apartment","Private room",1,1,1,1,"Real Bed",32,0,,,,,,,,"https://www.airbnb.com/rooms/24158403","1"
24774614,"bright&modern app in West with a rooftop terrace",154776413,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",270,0,,,,,,,,"https://www.airbnb.com/rooms/24774614","3"
