listing_id,street,neighbourhood,zipcode,city,state,country,latitude,longitude
6830331,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36003317,4.858785869
6935944,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36379778,4.876422975
6946461,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36123147,4.874783284
6962030,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.3626687,4.862201763
7120047,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36102145,4.863521606
7171374,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36065989,4.866950748
7223951,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.361984,4.864847152
7467320,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36041221,4.860132185
7704736,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.35945708,4.866307951
7879767,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36095554,4.862177022
8075718,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.35837524,4.858337432
8251668,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36273952,4.863902412
8264596,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36194395,4.866686522
